M = 0  out of  399
M = 40  out of  399
M = 80  out of  399
M = 120  out of  399
M = 160  out of  399
M = 200  out of  399
M = 240  out of  399
M = 280  out of  399
M = 320  out of  399
M = 360  out of  399
         3410443 function calls (3404904 primitive calls) in 325.778 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      338    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:848(get_data)
      553    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      338    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:858(path_stats)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:924(__init__)
    57/52    0.000    0.000    0.055    0.001 <frozen importlib._bootstrap_external>:935(create_module)
      515    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:943(exec_module)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        8    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(Box)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Font)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Page)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Text)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 <string>:5(_XYPair)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 Image.py:2231(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2236(ImageTransformHandler)
        1    0.000    0.000    0.003    0.003 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2865(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:36(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:40(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 Image.py:44(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:471(_E)
        1    0.000    0.000    0.000    0.000 Image.py:506(Image)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 MPS_JC+fb_short.py:50(str2bool)
        1    0.648    0.648  325.779  325.779 MPS_JC+fb_short.py:9(<module>)
        1    0.000    0.000    0.000    0.000 MPS_analysis.py:1(<module>)
     1203    0.005    0.000    0.162    0.000 MPS_analysis.py:102(exp_sys)
        1    0.149    0.149    0.196    0.196 MPS_analysis.py:121(spectrum)
      401    0.108    0.000    0.936    0.002 MPS_analysis.py:18(normf)
      401    0.014    0.000    0.126    0.000 MPS_analysis.py:202(g2_t)
        1    0.005    0.005    0.049    0.049 MPS_analysis.py:244(g2_out)
      400    0.007    0.000    0.052    0.000 MPS_analysis.py:321(NB_out)
        1    0.000    0.000    0.000    0.000 MPS_fund.py:1(<module>)
    51960    0.058    0.000    0.142    0.000 MPS_fund.py:121(unmerge)
      523    0.005    0.000    1.203    0.002 MPS_fund.py:143(OC_reloc)
    26422    0.756    0.000   85.578    0.003 MPS_fund.py:22(SVD_sig)
    25899    0.297    0.000   86.847    0.003 MPS_fund.py:245(cut)
      800    0.187    0.000   94.983    0.119 MPS_fund.py:323(SWAP)
        1    0.000    0.000    0.000    0.000 MPS_fund.py:394(coherent)
    26666    0.085    0.000    0.828    0.000 MPS_fund.py:70(merge)
        1    0.000    0.000    0.000    0.000 U_JC.py:1(<module>)
     2000    0.038    0.000    7.777    0.004 U_JC.py:104(nc)
     1600    7.543    0.005   32.615    0.020 U_JC.py:112(C)
     2400    3.353    0.001   91.067    0.038 U_JC.py:114(MB)
     1200    8.402    0.007   49.010    0.041 U_JC.py:116(MS)
      400   26.280    0.066  207.631    0.519 U_JC.py:12(U)
     3200   14.125    0.004   40.934    0.013 U_JC.py:35(B)
     3200   14.016    0.004   40.367    0.013 U_JC.py:46(Bd)
     4800    5.696    0.001   26.927    0.006 U_JC.py:57(c)
     4800    5.303    0.001   26.671    0.006 U_JC.py:66(cd)
      800    0.654    0.001    1.310    0.002 U_JC.py:75(sm)
      800    0.656    0.001    1.326    0.002 U_JC.py:82(sp)
     1200    8.427    0.007   14.537    0.012 U_JC.py:89(JC)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
       15    0.001    0.000    0.244    0.016 __init__.py:1(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ProjectionRegistry)
        1    0.000    0.000    0.064    0.064 __init__.py:101(<module>)
       27    0.000    0.000    0.000    0.000 __init__.py:1013(is_url)
       54    0.000    0.000    0.001    0.000 __init__.py:1024(_open_file_or_url)
       27    0.002    0.000    0.012    0.000 __init__.py:1042(_rc_params_in_file)
        1    0.000    0.000    0.000    0.000 __init__.py:1056(_StderrHandler)
        1    0.000    0.000    0.131    0.131 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:106(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:1062(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:108(todate)
        1    0.000    0.000    0.000    0.000 __init__.py:1080(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:1086(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
       27    0.000    0.000    0.015    0.001 __init__.py:1120(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:1122(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1127(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:1138(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1142(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1149(maxdict)
        4    0.000    0.000    0.000    0.000 __init__.py:1155(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1169(Stack)
        1    0.000    0.000    0.000    0.000 __init__.py:1183(<listcomp>)
       17    0.000    0.000    0.000    0.000 __init__.py:1189(_fixupParents)
        3    0.000    0.000    0.000    0.000 __init__.py:1196(rc)
        1    0.000    0.000    0.000    0.000 __init__.py:123(tofloat)
        1    0.000    0.000    0.000    0.000 __init__.py:1230(Logger)
       18    0.000    0.000    0.000    0.000 __init__.py:1245(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:1263(debug)
        3    0.000    0.000    0.000    0.000 __init__.py:1336(log)
        1    0.000    0.000    0.002    0.002 __init__.py:134(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:135(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:1353(use)
        1    0.000    0.000    0.000    0.000 __init__.py:136(toint)
        1    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:14(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1419(get_backend)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1433(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1447(Grouper)
        1    0.000    0.000    0.000    0.000 __init__.py:148(_BoundMethodProxy)
        3    0.000    0.000    0.000    0.000 __init__.py:1483(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:15(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:1507(getEffectiveLevel)
       10    0.000    0.000    0.000    0.000 __init__.py:1521(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1545(CallWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:1548(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1554(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1562(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1565(XView)
       39    0.000    0.000    0.001    0.000 __init__.py:1577(_add_data_doc)
        1    0.000    0.000    0.000    0.000 __init__.py:1586(YView)
       11    0.000    0.000    0.000    0.000 __init__.py:16(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1607(Wm)
       39    0.000    0.000    0.000    0.000 __init__.py:1612(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
       39    0.001    0.000    0.004    0.000 __init__.py:1652(param)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:17(register)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        3    0.000    0.000    0.000    0.000 __init__.py:172(compare_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
       18    0.000    0.000    0.000    0.000 __init__.py:1780(getLogger)
        1    0.000    0.000    0.009    0.009 __init__.py:180(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:1852(Tk)
       19    0.000    0.000    0.000    0.000 __init__.py:188(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1908(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
