M = 0  out of  200
M = 20  out of  200
M = 40  out of  200
M = 60  out of  200
M = 80  out of  200
M = 100  out of  200
M = 120  out of  200
M = 140  out of  200
M = 160  out of  200
M = 180  out of  200
         11312513 function calls (11306969 primitive calls) in 4865.365 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10400 1509.151    0.145 2068.075    0.199 U_CCQED.py:475(nE)
   108631 1083.644    0.010 1083.644    0.010 {built-in method numpy.core.multiarray.c_einsum}
     8200    0.075    0.000    0.197    0.000 blas.py:297(_get_funcs)
   490503    0.074    0.000    0.074    0.000 {method 'pop' of 'dict' objects}
   230963    0.073    0.000    0.073    0.000 {method 'count' of 'str' objects}
    25400    0.072    0.000    0.210    0.000 fromnumeric.py:2408(prod)
   128736    0.062    0.000    0.062    0.000 {method 'split' of 'str' objects}
    35049    0.062    0.000    0.138    0.000 parser.py:126(<listcomp>)
    23261    0.061    0.000    0.070    0.000 function_base.py:13(_index_deprecate)
    23261    0.061    0.000    0.061    0.000 {built-in method numpy.core.multiarray.result_type}
   137928    0.056    0.000    0.056    0.000 {built-in method builtins.max}
    30672    0.052    0.000    0.276    0.000 parser.py:19(has_valid_einsum_chars_only)
    24185    0.051    0.000    0.245    0.000 paths.py:85(_parse_possible_contraction)
     8003    0.049    0.000    0.071    0.000 twodim_base.py:191(diag)
    89353    0.048    0.000    0.048    0.000 {built-in method builtins.getattr}
       27    0.047    0.002    0.058    0.002 __init__.py:1042(_rc_params_in_file)
   106147    0.043    0.000    0.076    0.000 parser.py:86(possibly_convert_to_numpy)
   141196    0.042    0.000    0.053    0.000 contract.py:179(<genexpr>)
    35049    0.041    0.000    0.041    0.000 contract.py:156(<listcomp>)
     8200    0.041    0.000    0.089    0.000 blas.py:236(find_best_blas_type)
      200    0.039    0.000    5.893    0.029 MPS_fund_therm.py:454(SWAP_U)
      342    0.039    0.000    0.039    0.000 {built-in method marshal.loads}
209441/209438    0.039    0.000    0.039    0.000 {built-in method builtins.isinstance}
    41495    0.037    0.000    0.037    0.000 backends.py:33(get_func)
112787/112771    0.036    0.000    0.185    0.000 {built-in method builtins.hasattr}
    35049    0.036    0.000    0.036    0.000 contract.py:109(<listcomp>)
       10    0.033    0.003    0.033    0.003 {method 'readline' of '_io.BufferedReader' objects}
      400    0.032    0.000    0.851    0.002 MPS_analysis_therm.py:56(F)
    70928    0.031    0.000    0.031    0.000 {method 'union' of 'set' objects}
     8205    0.030    0.000    0.030    0.000 getlimits.py:507(__init__)
        2    0.029    0.015    0.029    0.015 {method 'truncate' of '_io.TextIOWrapper' objects}
     8601    0.029    0.000    0.029    0.000 {built-in method numpy.core.multiarray.concatenate}
   417037    0.028    0.000    0.028    0.000 {method 'keys' of 'dict' objects}
       41    0.023    0.001    0.023    0.001 {built-in method io.open}
    35049    0.022    0.000    0.022    0.000 contract.py:131(<listcomp>)
    27407    0.021    0.000    0.021    0.000 {method 'transpose' of 'numpy.ndarray' objects}
52926/52917    0.021    0.000    0.021    0.000 {method 'join' of 'str' objects}
     8200    0.020    0.000    0.036    0.000 numerictypes.py:964(find_common_type)
    35049    0.020    0.000    0.020    0.000 contract.py:395(<dictcomp>)
    35049    0.020    0.000    0.020    0.000 backends.py:48(has_einsum)
    62088    0.019    0.000    0.035    0.000 paths.py:127(<genexpr>)
    29875    0.019    0.000    0.026    0.000 numeric.py:463(asarray)
        1    0.017    0.017    0.017    0.017 {built-in method posix.open}
   105411    0.017    0.000    0.017    0.000 {method 'items' of 'dict' objects}
1266/1213    0.016    0.000    0.045    0.000 {built-in method builtins.__build_class__}
       39    0.016    0.000    0.016    0.000 {built-in method posix.listdir}
    56386    0.016    0.000    0.135    0.000 _methods.py:31(_sum)
