         266664 function calls (261463 primitive calls) in 0.405 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      313    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      379    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
     2418    0.000    0.000    0.000    0.000 inspect.py:2457(kind)
      273    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    50/46    0.000    0.000    0.054    0.001 <frozen importlib._bootstrap_external>:935(create_module)
        1    0.000    0.000    0.001    0.001 pyplot.py:1947(get_plot_commands)
      313    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:818(__init__)
       51    0.000    0.000    0.000    0.000 sre_compile.py:376(<listcomp>)
      426    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      300    0.000    0.000    0.000    0.000 rcsetup.py:125(validate_bool)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1292(_fill_cache)
      410    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
       94    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
      379    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
     1223    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       84    0.000    0.000    0.003    0.000 rcsetup.py:97(<listcomp>)
        1    0.000    0.000    0.064    0.064 __init__.py:101(<module>)
      132    0.000    0.000    0.001    0.000 deprecation.py:197(finalize)
      677    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
     1761    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      160    0.000    0.000    0.000    0.000 colors.py:431(__init__)
      501    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      101    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.001    0.001 markers.py:109(MarkerStyle)
       93    0.000    0.000    0.008    0.000 sre_compile.py:516(_code)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
      256    0.000    0.000    0.000    0.000 functools.py:73(wraps)
       51    0.000    0.000    0.000    0.000 sre_compile.py:374(_mk_bitmap)
      144    0.000    0.000    0.004    0.000 rcsetup.py:76(f)
     1839    0.000    0.000    0.000    0.000 inspect.py:2449(default)
       88    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
       65    0.000    0.000    0.000    0.000 copy.py:269(_reconstruct)
    63/11    0.000    0.000    0.003    0.000 pyparsing.py:2358(parseImpl)
        1    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
      397    0.000    0.000    0.000    0.000 artist.py:1195(aliased_name)
       31    0.000    0.000    0.000    0.000 posixpath.py:319(normpath)
        1    0.000    0.000    0.016    0.016 core.py:191(read_style_directory)
      782    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.015    0.015 mlab.py:163(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.005    0.005 _axes.py:96(Axes)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(__init__)
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
      388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
        6    0.000    0.000    0.000    0.000 enum.py:547(<dictcomp>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2160(__init__)
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1037(_parseCache)
     1202    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      263    0.000    0.000    0.000    0.000 pyparsing.py:274(__new__)
      432    0.000    0.000    0.000    0.000 colors.py:196(<genexpr>)
      103    0.000    0.000    0.000    0.000 sre_parse.py:362(_escape)
        1    0.000    0.000    0.010    0.010 cm.py:6(<module>)
      562    0.000    0.000    0.000    0.000 sre_parse.py:153(__len__)
       79    0.000    0.000    0.002    0.000 docstring.py:113(dedent_interpd)
        1    0.000    0.000    0.002    0.002 numerictypes.py:82(<module>)
       93    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
       11    0.000    0.000    0.022    0.002 artist.py:1475(kwdoc)
        1    0.000    0.000    0.107    0.107 __init__.py:106(<module>)
      572    0.000    0.000    0.004    0.000 colors.py:330(to_rgba)
        1    0.000    0.000    0.007    0.007 pyparsing.py:58(<module>)
       24    0.000    0.000    0.000    0.000 dviread.py:165(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:428(Misc)
       60    0.000    0.000    0.000    0.000 cm.py:46(<listcomp>)
      133    0.000    0.000    0.000    0.000 sre_compile.py:386(_simple)
       88    0.000    0.000    0.000    0.000 __init__.py:931(__getitem__)
      555    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      606    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1755(<genexpr>)
       19    0.000    0.000    0.001    0.000 path.py:101(__init__)
        1    0.000    0.000    0.000    0.000 blocking_input.py:23(<module>)
