         266664 function calls (261463 primitive calls) in 0.405 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      363    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:372(_get_cached)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:957(_parseNoCache)
     3336    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      763    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1096(_path_importer_cache)
     2571    0.001    0.000    0.002    0.000 sre_parse.py:247(get)
     5264    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      158    0.001    0.000    0.016    0.000 deprecation.py:163(deprecate)
     1489    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     2920    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
    511/8    0.001    0.000    0.369    0.046 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
     1472    0.001    0.000    0.002    0.000 colors.py:107(_is_nth_color)
      394    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
      363    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1242(_get_spec)
       10    0.001    0.000    0.001    0.000 getlimits.py:71(<lambda>)
     2279    0.001    0.000    0.001    0.000 inspect.py:2720(<genexpr>)
       12    0.001    0.000    0.001    0.000 artist.py:1104(<listcomp>)
      158    0.001    0.000    0.001    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
   200/93    0.001    0.000    0.009    0.000 sre_parse.py:429(_parse_sub)
       39    0.001    0.000    0.004    0.000 __init__.py:1652(param)
       93    0.001    0.000    0.018    0.000 sre_compile.py:531(compile)
       14    0.001    0.000    0.230    0.016 __init__.py:1(<module>)
      627    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     1608    0.001    0.000    0.001    0.000 artist.py:1185(is_alias)
     1381    0.001    0.000    0.002    0.000 re.py:160(match)
     1933    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      388    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
   379/53    0.001    0.000    0.198    0.004 {built-in method builtins.__import__}
      456    0.001    0.000    0.004    0.000 rcsetup.py:373(validate_color)
     1086    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       12    0.001    0.000    0.003    0.000 artist.py:1092(get_aliases)
      676    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:406(cached)
       93    0.001    0.000    0.002    0.000 sre_compile.py:412(_compile_info)
       11    0.000    0.000    0.019    0.002 artist.py:1228(pprint_setters)
     3202    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     1260    0.000    0.000    0.000    0.000 colors.py:228(<genexpr>)
      613    0.000    0.000    0.001    0.000 font_manager.py:955(_json_decode)
      510    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.002    0.002 pyplot.py:2264(_setup_pyplot_info_docstrings)
      186    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      275    0.000    0.000    0.001    0.000 function_base.py:4519(add_newdoc)
      221    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
