M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         48910792 function calls (48904933 primitive calls) in 7094.027 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1206    0.009    0.000    1.368    0.001 compressed.py:451(_mul_vector)
   860844    1.253    0.000    1.253    0.000 {built-in method numpy.core.multiarray.arange}
      474    0.022    0.000    1.216    0.003 U_CCQED.py:174(MStot)
   171648    1.201    0.000    1.201    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      948    0.485    0.001    1.194    0.001 U_CCQED.py:158(MS)
      237    0.013    0.000    1.134    0.005 MPS_fund_sp.py:66(SVD_split)
     7584    0.252    0.000    1.100    0.000 U_CCQED.py:62(ad)
   120213    0.233    0.000    1.099    0.000 paths.py:85(_parse_possible_contraction)
     7584    0.248    0.000    1.086    0.000 U_CCQED.py:40(a)
        1    0.000    0.000    0.991    0.991 pyplot.py:19(<module>)
      474    0.011    0.000    0.932    0.002 MPS_fund_sp.py:367(split)
   209191    0.550    0.000    0.919    0.000 helpers.py:76(find_contraction)
        1    0.000    0.000    0.895    0.895 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.738    0.738 type_check.py:3(<module>)
   624808    0.734    0.000    0.734    0.000 {method 'astype' of 'numpy.ndarray' objects}
   189837    0.462    0.000    0.712    0.000 linalg.py:139(_commonType)
      603    0.708    0.001    0.708    0.001 {built-in method scipy.sparse._sparsetools.csc_matvec}
        1    0.000    0.000    0.647    0.647 __init__.py:101(<module>)
    27553    0.405    0.000    0.646    0.000 function_base.py:25(linspace)
      603    0.642    0.001    0.642    0.001 {built-in method scipy.sparse._sparsetools.csr_matvec}
      948    0.148    0.000    0.639    0.001 U_CCQED.py:107(JC)
   190312    0.628    0.000    0.628    0.000 {built-in method numpy.core.multiarray.concatenate}
     1428    0.020    0.000    0.623    0.000 MPS_analysis.py:117(exp_sys)
      237    0.097    0.000    0.531    0.002 U_CCQED.py:587(D2)
    57884    0.392    0.000    0.524    0.000 blas.py:10(can_blas)
        1    0.000    0.000    0.505    0.505 MPS_fund_sp.py:1(<module>)
   189837    0.256    0.000    0.463    0.000 linalg.py:106(_makearray)
        1    0.000    0.000    0.414    0.414 colorbar.py:20(<module>)
        1    0.000    0.000    0.386    0.386 __init__.py:27(<module>)
        2    0.000    0.000    0.334    0.167 __init__.py:7(<module>)
        1    0.000    0.000    0.330    0.330 __init__.py:110(<module>)
   189607    0.264    0.000    0.310    0.000 getlimits.py:376(__new__)
    29345    0.151    0.000    0.309    0.000 parser.py:95(parse_einsum_input)
   211395    0.141    0.000    0.308    0.000 helpers.py:134(flop_count)
       14    0.000    0.000    0.307    0.022 six.py:91(__get__)
       14    0.000    0.000    0.307    0.022 six.py:80(_import_module)
   301341    0.300    0.000    0.300    0.000 {built-in method builtins.sorted}
   696188    0.298    0.000    0.298    0.000 helpers.py:47(compute_size_by_dict)
1632397/1632394    0.288    0.000    0.288    0.000 {built-in method builtins.isinstance}
   151762    0.099    0.000    0.288    0.000 {built-in method builtins.sum}
   379672    0.198    0.000    0.275    0.000 linalg.py:124(_realType)
     2844    0.173    0.000    0.264    0.000 U_CCQED.py:283(Ed2mix)
     2844    0.169    0.000    0.259    0.000 U_CCQED.py:256(E2mix)
2577412/2577190    0.253    0.000    0.253    0.000 {built-in method builtins.len}
     1896    0.062    0.000    0.241    0.000 U_CCQED.py:95(sp)
   304587    0.171    0.000    0.241    0.000 numeric.py:463(asarray)
     1896    0.061    0.000    0.237    0.000 U_CCQED.py:83(sm)
475549/475533    0.123    0.000    0.222    0.000 {built-in method builtins.hasattr}
   189837    0.116    0.000    0.212    0.000 linalg.py:223(_assertNoEmpty2d)
       11    0.000    0.000    0.208    0.019 six.py:159(_resolve)
        2    0.000    0.000    0.206    0.103 compressed.py:464(_mul_multivector)
   189837    0.199    0.000    0.199    0.000 linalg.py:101(get_linalg_error_extobj)
        2    0.197    0.098    0.197    0.098 arpack.py:760(extract)
     2856    0.008    0.000    0.193    0.000 contract.py:277(_einsum)
        1    0.000    0.000    0.191    0.191 request.py:68(<module>)
        1    0.000    0.000    0.185    0.185 figure.py:12(<module>)
        1    0.000    0.000    0.178    0.178 decorators.py:15(<module>)
   379674    0.133    0.000    0.172    0.000 linalg.py:111(isComplexType)
        1    0.000    0.000    0.168    0.168 contour.py:3(<module>)
        1    0.000    0.000    0.161    0.161 lgmres.py:4(<module>)
        1    0.000    0.000    0.160    0.160 _subplots.py:1(<module>)
        1    0.000    0.000    0.158    0.158 utils.py:4(<module>)
        1    0.000    0.000    0.156    0.156 _internal.py:6(<module>)
      948    0.115    0.000    0.155    0.000 U_CCQED.py:350(Ed3mix)
      948    0.113    0.000    0.153    0.000 U_CCQED.py:311(E3mix)
        1    0.000    0.000    0.153    0.153 client.py:69(<module>)
   279216    0.089    0.000    0.151    0.000 paths.py:127(<genexpr>)
        1    0.000    0.000    0.147    0.147 __init__.py:184(<module>)
