M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         49944522 function calls (49937501 primitive calls) in 1951.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   398/58    0.000    0.000    0.420    0.007 {built-in method builtins.__import__}
       12    0.000    0.000    0.419    0.035 __init__.py:1(<module>)
  444/437    0.001    0.000    0.396    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
   301276    0.395    0.000    0.395    0.000 {built-in method builtins.sorted}
    66/61    0.000    0.000    0.387    0.006 <frozen importlib._bootstrap_external>:919(create_module)
    66/61    0.382    0.006    0.386    0.006 {built-in method _imp.create_dynamic}
   189605    0.277    0.000    0.345    0.000 getlimits.py:376(__new__)
    29343    0.156    0.000    0.335    0.000 parser.py:190(parse_einsum_input)
   211380    0.142    0.000    0.325    0.000 helpers.py:133(flop_count)
   379674    0.199    0.000    0.321    0.000 linalg.py:126(_realType)
   244710    0.107    0.000    0.319    0.000 numeric.py:504(asanyarray)
   696139    0.302    0.000    0.302    0.000 helpers.py:49(compute_size_by_dict)
2394445/2394060    0.300    0.000    0.300    0.000 {built-in method builtins.len}
     2844    0.187    0.000    0.294    0.000 U_CCQED.py:256(E2mix)
   151751    0.104    0.000    0.292    0.000 {built-in method builtins.sum}
     2844    0.186    0.000    0.290    0.000 U_CCQED.py:283(Ed2mix)
        1    0.000    0.000    0.286    0.286 __init__.py:106(<module>)
   658059    0.157    0.000    0.261    0.000 helpers.py:122(<genexpr>)
   395838    0.177    0.000    0.252    0.000 {built-in method builtins.max}
     1896    0.069    0.000    0.238    0.000 U_CCQED.py:95(sp)
   189837    0.137    0.000    0.237    0.000 linalg.py:226(_assertNoEmpty2d)
     1896    0.068    0.000    0.233    0.000 U_CCQED.py:83(sm)
   305338    0.110    0.000    0.226    0.000 numeric.py:433(asarray)
   189837    0.225    0.000    0.225    0.000 linalg.py:103(get_linalg_error_extobj)
    94709    0.124    0.000    0.204    0.000 abc.py:178(__instancecheck__)
        1    0.000    0.000    0.200    0.200 pyplot.py:19(<module>)
   574940    0.191    0.000    0.191    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.188    0.188 MPS_fund_sp.py:1(<module>)
949625/949556    0.185    0.000    0.186    0.000 {built-in method builtins.issubclass}
   808348    0.181    0.000    0.181    0.000 {method 'pop' of 'list' objects}
   379674    0.120    0.000    0.172    0.000 linalg.py:113(isComplexType)
185388/185384    0.105    0.000    0.169    0.000 {method 'join' of 'str' objects}
      948    0.121    0.000    0.168    0.000 U_CCQED.py:311(E3mix)
      948    0.121    0.000    0.166    0.000 U_CCQED.py:350(Ed3mix)
        1    0.000    0.000    0.160    0.160 add_newdocs.py:10(<module>)
      474    0.118    0.000    0.156    0.000 U_CCQED.py:390(E4mix)
   279195    0.087    0.000    0.152    0.000 paths.py:128(<genexpr>)
      474    0.117    0.000    0.151    0.000 U_CCQED.py:443(Ed4mix)
        1    0.000    0.000    0.139    0.139 __init__.py:110(<module>)
   476320    0.137    0.000    0.137    0.000 {built-in method builtins.hasattr}
   696690    0.134    0.000    0.134    0.000 {method 'find' of 'str' objects}
   992180    0.129    0.000    0.129    0.000 {method 'append' of 'list' objects}
   154730    0.075    0.000    0.128    0.000 parser.py:156(<listcomp>)
        1    0.000    0.000    0.128    0.128 type_check.py:3(<module>)
   641168    0.127    0.000    0.127    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.125    0.125 colorbar.py:20(<module>)
   604100    0.118    0.000    0.118    0.000 {method 'count' of 'str' objects}
   189837    0.101    0.000    0.101    0.000 linalg.py:222(_isEmpty2d)
        1    0.000    0.000    0.100    0.100 __init__.py:206(_sanity_check)
        1    0.100    0.100    0.100    0.100 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.097    0.097 __init__.py:101(<module>)
    29343    0.045    0.000    0.093    0.000 contract.py:158(<listcomp>)
    61615    0.070    0.000    0.083    0.000 {built-in method builtins.min}
   205319    0.083    0.000    0.083    0.000 {method 'split' of 'str' objects}
    29343    0.031    0.000    0.080    0.000 parser.py:221(<listcomp>)
   189236    0.080    0.000    0.080    0.000 _weakrefset.py:70(__contains__)
     2132    0.002    0.000    0.078    0.000 sharing.py:158(cached_einsum)
   189837    0.078    0.000    0.078    0.000 linalg.py:200(_assertRankAtLeast2)
     2132    0.008    0.000    0.074    0.000 contract.py:274(_einsum)
    59867    0.036    0.000    0.068    0.000 contract.py:447(<listcomp>)
        2    0.000    0.000    0.068    0.034 __init__.py:7(<module>)
      373    0.002    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        1    0.000    0.000    0.068    0.068 contour.py:3(<module>)
   115944    0.064    0.000    0.064    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    59867    0.036    0.000    0.060    0.000 contract.py:219(<listcomp>)
   379674    0.059    0.000    0.059    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
   208229    0.056    0.000    0.056    0.000 contract.py:459(<genexpr>)
    60341    0.040    0.000    0.056    0.000 sharing.py:30(currently_sharing)
        1    0.000    0.000    0.056    0.056 text.py:3(<module>)
1258/1204    0.021    0.000    0.056    0.000 {built-in method builtins.__build_class__}
      948    0.055    0.000    0.055    0.000 U_CCQED.py:147(C)
        1    0.000    0.000    0.053    0.053 lgmres.py:4(<module>)
        1    0.000    0.000    0.053    0.053 __init__.py:184(<module>)
        1    0.000    0.000    0.052    0.052 utils.py:4(<module>)
    59394    0.052    0.000    0.052    0.000 blas.py:85(<listcomp>)
   209178    0.050    0.000    0.050    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.049    0.049 __init__.py:220(<module>)
    89214    0.026    0.000    0.049    0.000 parser.py:159(possibly_convert_to_numpy)
    59867    0.028    0.000    0.048    0.000 contract.py:220(<listcomp>)
    29343    0.047    0.000    0.047    0.000 contract.py:131(<listcomp>)
   189675    0.043    0.000    0.043    0.000 {built-in method builtins.abs}
    27553    0.042    0.000    0.042    0.000 {built-in method numpy.core.multiarray.result_type}
        1    0.000    0.000    0.041    0.041 textpath.py:1(<module>)
        1    0.000    0.000    0.040    0.040 figure.py:12(<module>)
        1    0.000    0.000    0.039    0.039 matfuncs.py:3(<module>)
    59629    0.039    0.000    0.039    0.000 paths.py:144(_update_other_results)
        1    0.000    0.000    0.039    0.039 __init__.py:634(<module>)
      372    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
        1    0.000    0.000    0.037    0.037 mathtext.py:16(<module>)
      372    0.037    0.000    0.037    0.000 {built-in method marshal.loads}
   118557    0.029    0.000    0.036    0.000 contract.py:178(<genexpr>)
     2246    0.002    0.000    0.036    0.000 re.py:286(_compile)
    61609    0.036    0.000    0.036    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.035    0.035 _subplots.py:1(<module>)
    59868    0.035    0.000    0.035    0.000 dispatch.py:46(get_func)
       11    0.000    0.000    0.034    0.003 artist.py:1511(kwdoc)
        1    0.000    0.000    0.032    0.032 request.py:68(<module>)
      191    0.001    0.000    0.032    0.000 sre_compile.py:557(compile)
       11    0.001    0.000    0.031    0.003 artist.py:1268(pprint_setters)
      460    0.003    0.000    0.030    0.000 <frozen importlib._bootstrap>:870(_find_spec)
        1    0.000    0.000    0.030    0.030 shutil.py:5(<module>)
    27553    0.023    0.000    0.030    0.000 function_base.py:13(_index_deprecate)
