M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         15788728 function calls (15781629 primitive calls) in 1157.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2844    0.181    0.000    0.287    0.000 U_CCQED.py:256(E2mix)
     2844    0.185    0.000    0.286    0.000 U_CCQED.py:283(Ed2mix)
   395859    0.187    0.000    0.266    0.000 {built-in method builtins.max}
   658059    0.156    0.000    0.262    0.000 helpers.py:122(<genexpr>)
     1896    0.066    0.000    0.227    0.000 U_CCQED.py:95(sp)
     1896    0.065    0.000    0.223    0.000 U_CCQED.py:83(sm)
6112/5139    0.007    0.000    0.212    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
      948    0.020    0.000    0.210    0.000 MPS_fund_par.py:23(SVD_sig)
    94709    0.122    0.000    0.204    0.000 abc.py:178(__instancecheck__)
   404/60    0.000    0.000    0.194    0.003 {built-in method builtins.__import__}
   291967    0.190    0.000    0.191    0.000 {built-in method builtins.getattr}
      474    0.009    0.000    0.187    0.000 context.py:99(Queue)
   808348    0.184    0.000    0.184    0.000 {method 'pop' of 'list' objects}
   106710    0.178    0.000    0.178    0.000 {built-in method numpy.core.multiarray.arange}
       12    0.000    0.000    0.173    0.014 __init__.py:1(<module>)
      474    0.009    0.000    0.170    0.000 queues.py:36(__init__)
187917/187913    0.105    0.000    0.166    0.000 {method 'join' of 'str' objects}
   179503    0.164    0.000    0.164    0.000 {built-in method numpy.core.multiarray.array}
      948    0.117    0.000    0.163    0.000 U_CCQED.py:311(E3mix)
      948    0.117    0.000    0.162    0.000 U_CCQED.py:350(Ed3mix)
   279258    0.089    0.000    0.155    0.000 paths.py:128(<genexpr>)
      474    0.113    0.000    0.149    0.000 U_CCQED.py:390(E4mix)
        1    0.000    0.000    0.147    0.147 pyplot.py:19(<module>)
1465821/1465436    0.146    0.000    0.146    0.000 {built-in method builtins.len}
   992207    0.146    0.000    0.146    0.000 {method 'append' of 'list' objects}
      474    0.111    0.000    0.145    0.000 U_CCQED.py:443(Ed4mix)
   696690    0.135    0.000    0.135    0.000 {method 'find' of 'str' objects}
    56058    0.020    0.000    0.132    0.000 numeric.py:504(asanyarray)
   154730    0.078    0.000    0.132    0.000 parser.py:156(<listcomp>)
     1422    0.052    0.000    0.122    0.000 synchronize.py:51(__init__)
   604100    0.120    0.000    0.120    0.000 {method 'count' of 'str' objects}
      948    0.005    0.000    0.106    0.000 context.py:64(Lock)
        1    0.000    0.000    0.101    0.101 __init__.py:106(<module>)
      948    0.002    0.000    0.098    0.000 synchronize.py:162(__init__)
    29343    0.045    0.000    0.090    0.000 contract.py:158(<listcomp>)
     2132    0.002    0.000    0.089    0.000 sharing.py:158(cached_einsum)
    61615    0.073    0.000    0.088    0.000 {built-in method builtins.min}
     2132    0.008    0.000    0.085    0.000 contract.py:274(_einsum)
   205320    0.083    0.000    0.083    0.000 {method 'split' of 'str' objects}
   189236    0.081    0.000    0.081    0.000 _weakrefset.py:70(__contains__)
    29343    0.032    0.000    0.079    0.000 parser.py:221(<listcomp>)
    58854    0.079    0.000    0.079    0.000 {method 'astype' of 'numpy.ndarray' objects}
   116686    0.037    0.000    0.077    0.000 numeric.py:433(asarray)
        1    0.000    0.000    0.073    0.073 colorbar.py:20(<module>)
   452516    0.071    0.000    0.071    0.000 {method 'pop' of 'dict' objects}
      948    0.068    0.000    0.068    0.000 U_CCQED.py:147(C)
    59867    0.036    0.000    0.068    0.000 contract.py:447(<listcomp>)
   115944    0.066    0.000    0.066    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.066    0.066 __init__.py:101(<module>)
      948    0.015    0.000    0.063    0.000 type_check.py:331(nan_to_num)
    59867    0.035    0.000    0.060    0.000 contract.py:219(<listcomp>)
      383    0.002    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      948    0.055    0.000    0.057    0.000 util.py:151(__init__)
  456/449    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
1303/1249    0.021    0.000    0.055    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.055    0.055 add_newdocs.py:10(<module>)
   337535    0.053    0.000    0.053    0.000 {method 'items' of 'dict' objects}
   208229    0.052    0.000    0.052    0.000 contract.py:459(<genexpr>)
   209178    0.051    0.000    0.051    0.000 {method 'union' of 'set' objects}
    60341    0.035    0.000    0.051    0.000 sharing.py:30(currently_sharing)
     1422    0.005    0.000    0.051    0.000 synchronize.py:115(_make_name)
    59394    0.050    0.000    0.050    0.000 blas.py:85(<listcomp>)
     5276    0.006    0.000    0.049    0.000 {built-in method builtins.next}
    59867    0.028    0.000    0.048    0.000 contract.py:220(<listcomp>)
    89214    0.026    0.000    0.048    0.000 parser.py:159(possibly_convert_to_numpy)
    68/63    0.000    0.000    0.047    0.001 <frozen importlib._bootstrap_external>:919(create_module)
    68/63    0.043    0.001    0.046    0.001 {built-in method _imp.create_dynamic}
    29343    0.044    0.000    0.044    0.000 contract.py:131(<listcomp>)
        1    0.000    0.000    0.043    0.043 type_check.py:3(<module>)
     1422    0.007    0.000    0.042    0.000 tempfile.py:157(__next__)
     4503    0.005    0.000    0.041    0.000 fromnumeric.py:2478(prod)
    27553    0.041    0.000    0.041    0.000 {built-in method numpy.core.multiarray.result_type}
    59629    0.040    0.000    0.040    0.000 paths.py:144(_update_other_results)
      383    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      383    0.038    0.000    0.038    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.038    0.038 figure.py:12(<module>)
