M = 0  out of  250
M = 25  out of  250
M = 50  out of  250
M = 75  out of  250
M = 100  out of  250
M = 125  out of  250
M = 150  out of  250
M = 175  out of  250
M = 200  out of  250
M = 225  out of  250
         4493559 function calls (4487363 primitive calls) in 61.601 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2400    0.005    0.000    0.005    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      323    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:449(_validate_bytecode_header)
6627/6592    0.005    0.000    0.025    0.000 {built-in method builtins.hasattr}
     3787    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
      523    0.004    0.000    0.022    0.000 inspect.py:1057(getfullargspec)
      601    0.004    0.000    0.006    0.000 inspect.py:2675(__init__)
       35    0.004    0.000    0.004    0.000 {built-in method nt.listdir}
    439/9    0.004    0.000    0.807    0.090 <frozen importlib._bootstrap>:965(_find_and_load)
     3116    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      480    0.004    0.000    0.004    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     3116    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.004    0.004    0.004    0.004 {built-in method _pickle.load}
       34    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1079(_path_hooks)
      211    0.004    0.000    0.005    0.000 sre_compile.py:248(_optimize_charset)
       11    0.004    0.000    0.025    0.002 artist.py:1145(_get_setters_and_targets)
      323    0.003    0.000    0.193    0.001 <frozen importlib._bootstrap_external>:761(get_code)
    19368    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      250    0.003    0.000    0.009    0.000 MPS_analysis_therm.py:191(dB)
    10762    0.003    0.000    0.004    0.000 mathtext.py:2765(<genexpr>)
      398    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     3683    0.003    0.000    0.003    0.000 sre_parse.py:226(__next)
  492/109    0.003    0.000    0.010    0.000 sre_compile.py:64(_compile)
      646    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:276(cache_from_source)
      351    0.003    0.000    0.007    0.000 colors.py:151(_to_rgba_no_colorcycle)
      250    0.003    0.000    0.014    0.000 MPS_analysis_therm.py:187(NB_out)
     1461    0.003    0.000    0.026    0.000 __init__.py:909(__setitem__)
      254    0.003    0.000    0.005    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      647    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     1000    0.003    0.000    0.024    0.000 U_JC_therm.py:110(C)
